"strainN","totalGeneN","coreGeneN","accessoryGeneN","CorAccRatio"
"X1D132","4925","4127","798","5.17"
"X1D132b","4933","4127","806","5.12"
"C58","5037","4127","910","4.54"
"F4","5037","4127","910","4.54"
"NFIX02","5032","4127","905","4.56"
"Arqua","5072","4127","945","4.37"
"NFIX01","5027","4127","900","4.59"
"ARqua1","5065","4127","938","4.4"
"Kin001","5187","4127","1060","3.89"
"N40_94","4919","4127","792","5.21"
"N33_94","5103","4127","976","4.23"
"str_12D13","4840","4127","713","5.79"
"X12D13","4838","4127","711","5.8"
"PDC82","4995","4127","868","4.75"
"Di1525a","4961","4127","834","4.95"
"ATCC31749","4954","4127","827","4.99"
"J_07","5019","4127","892","4.63"
"str_11546","4933","4127","806","5.12"
"str_2788","5130","4127","1003","4.11"
